# ica objects obtained on 20160221-20160227, raw data 1-110Hz
# Subj13
Run	EOG	ECG
1	[79] [238 288]
2	[224] [186 225]
3	[229] [243  59 275]
4	[196] [294  60]
5	[229] [275  70]
6	[21] [ 83 262  54]
7	[116] [ 18 270]
8	[259] [286  73 242]
9	[104] [255 129  22]
10	[102] [132   1 157]
11	[116] [ 50 133]
12	[287] [151 217]
