# ica objects obtained in December, 2015, on raw (not tsssed) data
# Subj11
# automatic EOGs are fine
Run	EOG		ECG
1	[131]		[138,32] 
2	[88]		[169,148]
3	[40]		[75,13]  
4	[67]		[218,9] 
5	[53]		[27,235,199]
6	[29]		[175,39,220]
7	[147]		[108,72,38] 
8	[61]		[190,102]
9	[61]		[188,10,165]  
10	[186]		[91,168,102]
11	[173]		[122,76,20]
12	[74]		[17,98,19]
